12.05	10.89
8.1	7.05
14.1	10.06
7.05	4.87
10	8.04
8	6.95
12.95	7.53
8.95	8.76
13.1	7.68
9.1	8.91
11.1	8.43
10.95	8.28
13.95	9.91
5.95	7.19
13	7.58
9	8.81
8.9	8.71
4	4.5
12	10.84
12.9	7.48
13.9	9.86
7	4.82
14	8.58
9.95	7.99
7.95	6.9
7	8.24
5	5.5
13	11.84
8	5.82
6	6.68
9	7.04
7	5.95
12	6.58
8	7.81
10	7.33
11	9.84
6	3.82
4	4.9
10.1	8.14
11.05	8.38
14.05	10.01
6.1	7.34
4.1	4.6
5.05	5.73
12.1	10.94
10.9	8.23
7.1	4.92
11	8.33
14	9.96
6	7.24
5.1	5.78
10.05	8.09
8.05	7
13.05	7.63
9.05	8.86
6.05	7.29
4.05	4.55
9.9	7.94
7.9	6.85
11.95	10.79
6.95	4.77
5.9	7.14
3.9	4.4
11.9	10.74
5	5.68
11	9.04
9	7.95
6.9	4.72
4.9	5.58
3.95	4.5
13	8.96
5	6.24
3	4
4.95	5.7
10	9.81
12	9.33
15	10.96
