8.16	19.18
8.95	18.59
18.96	43.49
14.20	36.41
4.55	17.40
15.01	49.03
19.01	40.51
12.32	30.55
19.27	56.79
15.13	40.19
8.80	32.15
14.22	37.73
13.51	37.03
12.72	30.79
13.28	33.49
1.27	3.21
8.38	15.48
16.46	37.44
3.44	16.04
10.96	25.68
7.80	24.44
12.56	33.57
0.65	5.48
18.50	48.53
7.41	30.04
0.50	3.53
1.66	-0.10
1.45	3.29
11.55	24.13
16.27	43.95
19.34	37.08
1.11	12.64
16.87	47.71
15.57	37.50
19.45	49.16
9.70	22.81
4.14	12.91
5.26	17.79
0.15	8.17
8.16	18.33
1.16	1.65
0.51	-3.38
2.93	18.10
15.54	36.00
6.79	12.39
11.98	25.09
9.30	23.90
3.75	8.04
12.78	33.20
5.26	19.65
1.40	9.20
10.35	27.96
19.33	50.02
14.65	35.23
17.69	44.96
0.51	1.53
17.58	36.93
15.85	37.98
12.82	30.65
15.91	44.14
10.89	34.04
18.90	43.41
12.46	33.26
14.45	37.19
4.52	18.41
2.25	9.89
1.35	5.94
10.43	32.02
19.57	48.24
19.35	44.35
12.30	27.89
10.61	24.38
7.07	22.74
11.51	26.62
7.06	24.33
13.69	26.92
4.39	20.34
4.82	14.56
16.32	37.13
2.33	8.81
14.47	36.29
1.98	12.25
17.82	40.73
15.16	42.80
7.40	25.10
7.98	36.03
6.11	8.98
3.48	10.51
9.63	21.81
7.15	19.89
15.79	42.97
4.71	19.26
18.99	48.42
2.63	16.14
17.52	41.65
12.43	28.27
7.47	30.36
5.36	19.49
5.07	19.24
7.42	19.85
