8	6.58
19	12.5
8	8.84
7.1	6.58
9	7.58
7.2	4.76
7.95	5.2
18.95	12.45
7.95	5.51
8	5.76
8	7.71
9	9.84
9	8.04
8	8.47
8	7.04
7.95	8.79
7.95	8.42
8	5.25
9	9.47
8	5.56
8	7.91
8	6.89
18.9	12.4
7.9	5.46
9	6.76
9	8.71
9	6.25
20	13.5
9	6.56
9	8.91
9	7.89
7.3	6.71
7.2	7.84
8.1	7.81
8.1	8.94
7.1	7.47
7	7.5
7	5.35
18	11.5
7	5.1
7	7.2
7	5.89
8.1	6.68
8.1	5.86
8.1	8.57
8.1	7.14
8.1	5.35
19.1	12.6
8.1	5.66
8.1	8.01
8.1	6.99
7.9	6.48
7.9	5.66
7.9	7.61
7.9	8.74
7.9	8.37
7.9	6.94
8.05	5.3
19.05	12.55
7.9	5.15
8.05	7.96
8.05	6.94
7.9	7.81
7.9	6.79
8.05	6.63
8.05	5.81
8.05	7.76
7.95	5.71
7.95	7.66
7.95	6.99
8.05	8.89
8.05	8.52
8.05	7.09
8.05	5.61
7.95	6.53
7.95	7.86
7.95	6.84
