12.70	8.79
4.24	6.60
14.82	9.21
17.01	10.65
12.07	9.41
7.64	8.53
7.70	7.54
11.36	7.77
1.21	6.99
19.03	9.56
17.19	9.44
0.64	6.38
0.98	5.95
12.37	7.97
18.17	11.13
15.81	10.41
7.36	7.47
18.54	9.46
5.36	8.07
5.79	6.66
13.19	9.64
19.44	9.39
2.89	6.08
8.14	8.63
9.25	9.10
4.72	7.19
4.49	6.40
14.14	8.83
6.39	7.53
17.52	10.75
5.23	8.05
13.56	9.46
16.99	10.15
4.77	7.20
9.59	8.67
17.80	9.31
13.55	8.71
7.45	8.74
15.59	10.37
13.38	9.93
17.27	10.70
13.18	9.89
10.99	9.70
13.50	8.95
4.21	6.34
1.46	5.79
15.96	9.94
10.85	8.17
11.16	7.98
7.81	9.06
9.78	9.21
18.64	9.73
2.91	6.58
18.23	10.90
3.23	8.15
5.01	6.75
2.71	8.04
9.60	9.17
8.15	8.63
4.86	7.72
8.85	8.52
4.25	6.35
14.70	8.94
12.34	9.97
8.66	9.23
7.71	8.29
9.49	7.65
16.17	10.73
9.66	7.68
0.03	7.26
2.62	8.02
16.12	10.47
10.90	9.68
10.69	9.14
17.41	9.73
15.46	8.59
18.65	10.48
10.51	9.60
11.99	8.65
11.17	9.48
17.60	10.77
4.70	7.94
19.63	9.93
2.46	7.49
6.70	7.09
18.54	10.96
1.77	6.35
15.46	9.84
17.34	10.22
8.96	8.79
19.99	9.50
8.29	7.41
3.14	6.88
4.63	7.18
1.37	5.77
4.93	7.24
7.52	9.00
3.13	7.38
7.28	7.46
0.76	7.15
