9.05	8.82
11.05	9.31
14.05	8.15
10	9.14
8	8.14
13	8.74
5.05	4.79
9.95	9.09
4.1	3.2
12.1	9.23
7.1	7.36
7.95	8.09
9	8.77
11	9.26
12	9.13
7	7.26
5	4.74
11	10.14
9	9.14
14	9.74
10	9.77
12	10.26
15	9.1
7	7.13
5	4.1
13	10.13
7	7.14
12	7.74
8	7.77
10	8.26
13	7.1
5	5.13
3	3.1
11	8.13
6	6.26
4	3.74
10.1	9.24
8.1	8.24
13.1	8.84
6.05	6.18
4.05	3.15
12.05	9.18
9.1	8.87
8	8.26
6	5.74
9	8.14
11.1	9.36
14.1	8.2
6.1	6.23
5.1	4.84
9.9	9.04
7.9	8.04
12.9	8.64
8.9	8.67
10.9	9.16
13.9	8
5.9	6.03
3.9	3
11.9	9.03
6.9	7.16
4.9	4.64
10.05	9.19
8.05	8.19
13.05	8.79
5.95	6.08
3.95	3.55
11.95	9.08
7.05	7.31
12.95	8.69
8.95	8.72
10.95	9.21
13.95	8.05
14	8.1
6	6.13
4	3.1
6.95	7.21
4.95	4.69
